Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Intake air temperature bank 1  sensor 3 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
29.265,0,14.469749,1034,0,1.070307,29.234798,55.4,0,60.8,64.4,0,1674.3567,1621.2025,-7.251887,0,0,9.754415,49.546703,0,0,45.058094,-92.954636,975.6957
29.516,0,14.174448,1038.75,0,1.090152,29.234798,55.4,0,60.8,64.4,0,1674.3567,1553.2832,-7.3969245,0,0,9.935275,50.2346,0,0,45.058094,-92.954636,975.6957
29.765,0,13.879147,1041,0,1.080891,29.234798,55.4,0,60.8,64.4,0,1674.3567,1703.8867,-7.541962,0,0,9.850874,49.700195,0,0,45.058094,-92.954636,975.6957
30.015,0,14.174448,1035.25,0,1.100736,29.234798,55.4,0,60.8,64.4,0,1674.3567,1718.6519,-7.3969245,0,0,10.031734,50.8938,0,0,45.05809,-92.95463,975.16736
30.268,0,14.174448,1039.25,0,1.090152,29.234798,55.4,0,60.8,64.4,0,1674.3567,1671.4037,-7.3969245,0,0,9.935275,50.21043,0,0,45.05809,-92.95463,975.16736
30.515,0,13.879147,1042.75,0,1.033263,29.234798,55.4,0,60.8,64.4,0,1674.3567,1573.9543,-7.541962,0,0,9.416808,47.43049,0,0,45.05809,-92.95463,975.16736
30.767,0,14.174448,1041.5,0,1.090152,29.234798,55.4,0,60.8,62.6,0,1674.3567,1627.1085,-7.3969245,0,0,9.935275,50.10196,0,0,45.05809,-92.95463,975.16736
31.014,0,15.355652,1057.25,0,1.199961,29.234798,55.4,0,60.8,62.6,0,1674.3567,1727.5109,-6.816774,0,0,10.935036,54.322105,0,0,45.058098,-92.95463,975.05945
31.265,0,15.060351,1020,0,1.199961,29.234798,55.4,0,60.8,62.6,0,1674.3567,1638.9205,-6.9618115,0,0,10.934034,56.30077,0,0,45.058098,-92.95463,975.05945
31.514,0,15.650953,1008.75,0,1.1907,29.234798,55.4,0,60.8,62.6,0,1674.3567,1662.5447,-6.671736,0,0,10.85031,56.49275,0,0,45.058098,-92.95463,975.05945
31.765,0,15.355652,1026.5,0,1.169532,29.234798,55.4,0,60.8,62.6,0,1674.3567,1606.4375,-6.816774,0,0,10.656766,54.52561,0,0,45.058098,-92.95463,975.05945
