Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
125.048,28.320566,21.568628,109.4,15.355652,1995.5,37.903645,6.6666665,62.6,2.745098,95,64.4,1.8005469,-7.106849,18.350658,48.298542,0.44121268,10.53787,45.0556,-92.96225
126.051,61.61581,14.509804,109.4,10.630836,1790.25,37.903645,10.588235,62.6,4.7058825,95,64.4,1.2238404,-9.427453,8.434541,24.744678,0.44742393,10.660532,45.0555,-92.96242
127.053,31.023829,23.529411,116.6,18.013361,2002.5,37.903645,11.372549,62.6,0,96.8,64.4,1.8604331,-5.8015094,16.751675,43.935925,0.45312002,10.749242,45.055397,-92.96258
128.055,31.023829,23.529411,116.6,18.013361,2002.5,37.903645,11.372549,62.6,0,96.8,64.4,1.8604331,-5.8015094,16.751675,43.935925,0.45312002,10.749242,45.055294,-92.96274
129.056,21.53091,23.529411,116.6,11.81204,1878.25,37.903645,10.980392,62.6,4.7058825,96.8,64.4,1.3645927,-8.847302,24.13744,67.49504,0.4667676,10.89315,45.055195,-92.962906
130.056,21.53091,23.529411,116.6,11.81204,1878.25,37.903645,10.980392,62.6,4.7058825,96.8,64.4,1.3645927,-8.847302,24.13744,67.49504,0.4667676,10.89315,45.055096,-92.96307
131.054,28.307861,30.980392,116.6,18.899263,2054,37.903645,12.156863,62.6,6.6666665,96.8,64.4,2.047877,-5.3663964,18.358896,46.94401,0.4848475,11.140964,45.054996,-92.96325
132.063,17.151432,25.490196,116.6,18.899263,2093.5,37.903645,20.392157,62.6,9.803922,96.8,64.4,2.2394993,-5.3663964,30.300737,76.017624,0.50395155,11.294492,45.054893,-92.96342
133.063,17.151432,25.490196,116.6,18.899263,2093.5,37.903645,20.392157,62.6,9.803922,96.8,64.4,2.2394993,-5.3663964,30.300737,76.017624,0.50395155,11.294492,45.05479,-92.963585
134.080,17.151432,25.490196,116.6,18.899263,2093.5,37.903645,20.392157,62.6,9.803922,96.8,64.4,2.2394993,-5.3663964,30.300737,76.017624,0.50395155,11.294492,45.05469,-92.96376
135.052,55.32437,45.098038,116.6,21.261671,2086.75,39.146385,5.882353,62.6,7.0588236,96.8,64.4,2.5678875,-4.2060943,9.701699,24.418077,0.5253283,11.675411,45.054585,-92.96393
136.058,39.6596,12.54902,116.6,7.087224,1772.75,39.146385,13.333333,62.6,7.8431373,96.8,64.4,0.85320264,-11.167906,13.533683,40.09614,0.550149,12.056979,45.054485,-92.9641
137.079,17.676876,33.72549,116.6,22.147575,2174,38.525013,13.725491,62.6,7.8431373,96.8,64.4,2.2650578,-3.770981,29.882017,72.19123,0.56669813,12.193924,45.054382,-92.96427
138.060,13.625375,38.431374,116.6,24.509983,2262.25,39.146385,15.294118,62.6,8.627451,96.8,64.4,3.0740304,-2.6106794,39.39271,91.4554,0.5740187,12.212269,45.05428,-92.96444
139.049,13.625375,38.431374,116.6,24.509983,2262.25,39.146385,15.294118,62.6,8.627451,96.8,64.4,3.0740304,-2.6106794,39.39271,91.4554,0.5740187,12.212269,45.054176,-92.964615
140.065,13.625375,38.431374,116.6,24.509983,2262.25,39.146385,15.294118,62.6,8.627451,96.8,64.4,3.0740304,-2.6106794,39.39271,91.4554,0.5740187,12.212269,45.05407,-92.96479
141.058,17.565882,14.90196,116.6,19.194565,2188.25,39.146385,16.470589,62.6,9.803922,96.8,64.4,2.5050967,-5.221359,30.555851,73.33841,0.58536327,12.250305,45.053963,-92.964966
142.059,17.565882,14.90196,116.6,19.194565,2188.25,39.146385,16.470589,62.6,9.803922,96.8,64.4,2.5050967,-5.221359,30.555851,73.33841,0.58536327,12.250305,45.053856,-92.96514
143.056,17.540514,34.901962,116.6,19.785168,2108.5,40.389126,5.490196,62.6,0,96.8,64.4,2.4977114,-4.931283,31.571472,78.642136,0.6172295,12.457826,45.05375,-92.965324
144.056,92.15137,0,116.6,5.90602,1663.25,40.389126,12.156863,62.6,7.45098,102.2,64.4,0.71841294,-11.748056,6.0094585,18.976315,0.6382539,12.827114,45.053642,-92.9655
145.052,36.387947,16.078432,116.6,10.926137,1741,40.389126,5.098039,62.6,5.098039,102.2,64.4,1.3462405,-9.282415,15.21877,45.9108,0.65804213,12.986394,45.053535,-92.965675
146.055,20.174038,40.39216,116.6,20.966372,1868,40.389126,12.156863,62.6,6.27451,102.2,64.4,2.105851,-4.351132,27.450123,77.17941,0.6663338,13.039032,45.05343,-92.96584
147.058,35.8391,20,116.6,11.516739,1544.5,40.389126,5.098039,62.6,1.5686275,102.2,64.4,1.3311423,-8.99234,15.451833,52.54437,0.6819786,13.188786,45.05332,-92.96602
148.064,29.697058,59.215687,116.6,20.67107,1685.25,40.389126,13.725491,62.6,7.0588236,102.2,64.4,1.8418595,-4.49617,18.647633,58.115696,0.6896288,13.2671585,45.05321,-92.966194
149.060,18.886898,39.215687,116.6,23.033478,2029.25,40.389126,14.117647,62.6,7.8431373,102.2,64.4,2.2393887,-3.335868,29.320847,75.888336,0.6978697,13.319117,45.053104,-92.96637
150.059,18.886898,39.215687,116.6,23.033478,2029.25,40.389126,14.117647,62.6,7.8431373,102.2,64.4,2.2393887,-3.335868,29.320847,75.888336,0.6978697,13.319117,45.052998,-92.966545
151.046,28.314718,18.431372,116.6,16.832157,1757.75,40.389126,12.54902,62.6,7.45098,102.2,64.4,1.9705204,-6.3816605,19.55802,58.438873,0.7058588,13.375762,45.05289,-92.96672
152.055,28.314718,18.431372,116.6,16.832157,1757.75,40.389126,12.54902,62.6,7.45098,102.2,64.4,1.9705204,-6.3816605,19.55802,58.438873,0.7058588,13.375762,45.05278,-92.9669
153.047,16.484158,38.039215,116.6,21.261671,1971.25,40.389126,5.882353,62.6,5.882353,102.2,64.4,2.1560564,-4.2060943,33.59467,89.50818,0.7289909,13.478934,45.052673,-92.96708
